Date,SYGT40 SJ EQUITY_price
7/23/2018,5037
7/24/2018,5117
7/25/2018,5035
7/26/2018,5076
7/27/2018,5110
7/30/2018,5130
7/31/2018,5143
8/1/2018,5124
8/2/2018,5052
8/3/2018,5105
8/6/2018,5079
8/7/2018,5157
8/8/2018,5162
8/10/2018,5153
8/13/2018,5192
8/14/2018,5170
8/15/2018,4995
8/16/2018,5060
8/17/2018,5075
8/20/2018,5123
8/21/2018,5120
8/22/2018,5211
8/23/2018,5224
8/24/2018,5294
8/27/2018,5367
8/28/2018,5396
8/29/2018,5420
8/30/2018,5293
8/31/2018,5254
9/3/2018,5262
9/4/2018,5178
9/5/2018,5115
9/6/2018,5116
9/7/2018,5123
9/10/2018,5091
9/11/2018,5012
9/12/2018,5015
9/13/2018,5021
9/14/2018,5096
9/17/2018,5072
9/18/2018,5054
9/19/2018,5079
9/20/2018,5105
9/21/2018,5176
9/25/2018,5127
9/26/2018,5106
9/27/2018,5041
9/28/2018,5003
10/1/2018,5019
10/2/2018,5007
10/3/2018,4968
10/4/2018,4956
10/5/2018,4894
10/8/2018,4876
10/9/2018,4875
10/10/2018,4755
10/11/2018,4670
10/12/2018,4785
10/15/2018,4706
10/16/2018,4764
10/17/2018,4670
10/18/2018,4658
10/19/2018,4655
10/22/2018,4673
10/23/2018,4561
10/24/2018,4558
10/25/2018,4602
10/26/2018,4543
10/29/2018,4588
10/30/2018,4522
10/31/2018,4681
11/1/2018,4776
11/2/2018,4846
11/5/2018,4908
11/6/2018,4878
11/7/2018,4918
11/8/2018,4839
11/9/2018,4747
11/12/2018,4655
11/13/2018,4649
11/14/2018,4641
11/15/2018,4468
11/16/2018,4648
11/19/2018,4682
11/20/2018,4560
11/21/2018,4585
11/22/2018,4575
11/23/2018,4512
11/26/2018,4619
11/27/2018,4595
11/28/2018,4655
11/29/2018,4650
11/30/2018,4571
12/3/2018,4711
12/4/2018,4703
12/5/2018,4653
12/6/2018,4548
12/7/2018,4588
12/10/2018,4526
12/11/2018,4602
12/12/2018,4652
12/13/2018,4648
12/14/2018,4626
12/18/2018,4606
12/19/2018,4637
12/20/2018,4614
12/21/2018,4659
12/24/2018,4702
12/27/2018,4652
12/28/2018,4737
12/31/2018,4761
1/2/2019,4535
1/3/2019,4567
1/4/2019,4620
