Date,ASHR40 SJ EQUITY_price
8/28/2013,3811
8/29/2013,3823
8/30/2013,3797
9/2/2013,3864
9/3/2013,3884
9/4/2013,3844
9/5/2013,3868
9/6/2013,3870
9/9/2013,3864
9/10/2013,3943
9/11/2013,3928
9/12/2013,3956
9/13/2013,3942
9/16/2013,3949
9/17/2013,3959
9/18/2013,3926
9/19/2013,4012
9/20/2013,4001
9/23/2013,3988
9/25/2013,4027
9/26/2013,4022
9/27/2013,4021
9/30/2013,3948
10/1/2013,3940
10/2/2013,3939
10/3/2013,3940
10/4/2013,3932
10/7/2013,3916
10/8/2013,3870
10/9/2013,3821
10/10/2013,3872
10/11/2013,3902
10/14/2013,3914
10/15/2013,3972
10/16/2013,3979
10/17/2013,3990
10/18/2013,4001
10/21/2013,4021
10/22/2013,4066
10/23/2013,4036
10/24/2013,4036
10/25/2013,4044
10/28/2013,4067
10/29/2013,4071
10/30/2013,4085
10/31/2013,4082
11/1/2013,4085
11/4/2013,4097
11/5/2013,4104
11/6/2013,4148
11/7/2013,4135
11/8/2013,4080
11/11/2013,4088
11/12/2013,4083
11/13/2013,4004
11/14/2013,4028
11/15/2013,4051
11/18/2013,4072
11/19/2013,4045
11/20/2013,4055
11/21/2013,4006
11/22/2013,3974
11/25/2013,3991
11/26/2013,3935
11/27/2013,3991
11/28/2013,4042
11/29/2013,4030
12/2/2013,4004
12/3/2013,3934
12/4/2013,3944
12/5/2013,3977
12/6/2013,4009
12/9/2013,4019
12/10/2013,4010
12/11/2013,3993
12/12/2013,3874
12/13/2013,3873
12/17/2013,3931
12/18/2013,3936
12/19/2013,3978
12/20/2013,4000
12/23/2013,4016
12/24/2013,4033
12/27/2013,4114
12/30/2013,4151
12/31/2013,4163
1/2/2014,4195
1/3/2014,4157
1/6/2014,4119
1/7/2014,4115
1/8/2014,4098
1/9/2014,4074
1/10/2014,4085
1/13/2014,4129
1/14/2014,4122
1/15/2014,4168
1/16/2014,4196
1/17/2014,4199
1/20/2014,4226
1/21/2014,4221
1/22/2014,4228
1/23/2014,4233
1/24/2014,4176
1/27/2014,4110
1/28/2014,4110
1/29/2014,4099
1/30/2014,4071
1/31/2014,4060
2/3/2014,4046
2/4/2014,3996
2/5/2014,3997
2/6/2014,4050
2/7/2014,4081
2/10/2014,4133
2/11/2014,4131
2/12/2014,4186
2/13/2014,4174
2/14/2014,4211
2/17/2014,4249
2/18/2014,4259
2/19/2014,4292
2/20/2014,4265
2/21/2014,4297
2/24/2014,4289
2/25/2014,4253
2/26/2014,4255
2/27/2014,4255
2/28/2014,4278
3/3/2014,4271
3/4/2014,4319
3/5/2014,4308
3/6/2014,4336
3/7/2014,4334
3/10/2014,4293
3/11/2014,4324
3/12/2014,4280
3/13/2014,4241
3/14/2014,4202
3/17/2014,4243
3/18/2014,4265
3/19/2014,4230
3/20/2014,4200
3/24/2014,4262
3/25/2014,4312
3/26/2014,4333
3/27/2014,4306
3/28/2014,4356
3/31/2014,4339
4/1/2014,4344
4/2/2014,4376
4/3/2014,4354
4/4/2014,4365
4/7/2014,4324
4/8/2014,4345
4/9/2014,4365
4/10/2014,4382
4/11/2014,4333
4/14/2014,4349
4/15/2014,4312
4/16/2014,4345
4/17/2014,4371
4/22/2014,4398
4/23/2014,4392
4/24/2014,4415
4/25/2014,4412
4/29/2014,4415
4/30/2014,4408
5/2/2014,4429
5/5/2014,4404
5/6/2014,4412
5/8/2014,4416
5/9/2014,4401
5/12/2014,4440
5/13/2014,4435
5/14/2014,4479
5/15/2014,4466
5/16/2014,4436
5/19/2014,4468
5/20/2014,4482
5/21/2014,4489
5/22/2014,4510
5/23/2014,4516
5/26/2014,4526
5/27/2014,4514
5/28/2014,4502
5/29/2014,4500
5/30/2014,4489
6/2/2014,4514
6/3/2014,4524
6/4/2014,4525
6/5/2014,4528
6/6/2014,4520
6/9/2014,4541
6/10/2014,4604
6/11/2014,4583
6/12/2014,4585
6/13/2014,4607
6/17/2014,4616
6/18/2014,4598
6/19/2014,4653
6/20/2014,4661
6/23/2014,4633
6/24/2014,4615
6/25/2014,4566
6/26/2014,4607
6/27/2014,4593
6/30/2014,4597
7/1/2014,4649
7/2/2014,4689
7/3/2014,4696
7/4/2014,4709
7/7/2014,4688
7/8/2014,4658
7/9/2014,4635
7/10/2014,4594
7/11/2014,4607
7/14/2014,4643
7/15/2014,4664
7/16/2014,4695
7/17/2014,4665
7/18/2014,4656
7/21/2014,4629
7/22/2014,4680
7/23/2014,4673
7/24/2014,4646
7/25/2014,4639
7/28/2014,4677
7/29/2014,4708
7/30/2014,4661
7/31/2014,4624
8/1/2014,4575
8/4/2014,4614
8/5/2014,4623
8/6/2014,4603
8/7/2014,4565
8/8/2014,4568
8/11/2014,4650
8/12/2014,4641
8/13/2014,4624
8/14/2014,4605
8/15/2014,4625
8/18/2014,4657
8/19/2014,4636
8/20/2014,4646
8/21/2014,4642
8/22/2014,4614
8/25/2014,4643
8/26/2014,4669
8/27/2014,4657
8/28/2014,4605
8/29/2014,4588
9/1/2014,4609
9/2/2014,4639
9/3/2014,4678
9/4/2014,4670
9/5/2014,4671
9/8/2014,4660
9/9/2014,4672
9/10/2014,4627
9/11/2014,4622
9/12/2014,4624
9/15/2014,4644
9/16/2014,4630
9/17/2014,4622
9/18/2014,4664
9/19/2014,4627
9/22/2014,4533
9/23/2014,4496
9/25/2014,4444
9/26/2014,4459
9/29/2014,4429
9/30/2014,4424
10/1/2014,4375
10/2/2014,4323.5
10/3/2014,4346
10/6/2014,4410
10/7/2014,4370
10/8/2014,4304
10/9/2014,4310
10/10/2014,4210
10/13/2014,4237
10/14/2014,4269
10/15/2014,4177
10/16/2014,4199
10/17/2014,4293
10/20/2014,4269
10/21/2014,4357
10/22/2014,4323
10/23/2014,4310
10/24/2014,4287
10/27/2014,4301
10/28/2014,4338
10/29/2014,4399
10/30/2014,4354
10/31/2014,4458
11/3/2014,4491
11/4/2014,4464
11/5/2014,4457
11/6/2014,4450
11/7/2014,4500
11/10/2014,4540
11/11/2014,4521
11/12/2014,4517
11/13/2014,4534
11/14/2014,4537
11/17/2014,4526
11/18/2014,4502
11/19/2014,4475
11/20/2014,4388
11/21/2014,4550
11/24/2014,4536
11/25/2014,4516
11/26/2014,4501
11/27/2014,4519
11/28/2014,4446
12/1/2014,4347
12/2/2014,4420
12/3/2014,4451
12/4/2014,4399
12/5/2014,4414
12/8/2014,4425
12/9/2014,4315
12/10/2014,4334
12/11/2014,4271
12/12/2014,4266
12/15/2014,4203
12/17/2014,4190
12/18/2014,4365
12/19/2014,4368
12/22/2014,4362
12/23/2014,4384
12/24/2014,4378
12/29/2014,4451
12/30/2014,4397
12/31/2014,4399
1/2/2015,4376
1/5/2015,4204
1/6/2015,4278
1/7/2015,4312
1/8/2015,4370
1/9/2015,4303
1/12/2015,4248
1/13/2015,4347
1/14/2015,4203
1/15/2015,4257
1/16/2015,4248
1/19/2015,4302
1/20/2015,4310
1/21/2015,4354
1/22/2015,4378
1/23/2015,4369
1/26/2015,4424
1/27/2015,4456
1/28/2015,4504
1/29/2015,4480
1/30/2015,4514
2/2/2015,4524
2/3/2015,4576
2/4/2015,4546
2/5/2015,4550
2/6/2015,4578
2/9/2015,4590
2/10/2015,4594
2/11/2015,4592
2/12/2015,4632
2/13/2015,4678
2/16/2015,4685
2/17/2015,4674
2/18/2015,4649
2/19/2015,4674
2/20/2015,4690
2/23/2015,4718
2/24/2015,4721
2/25/2015,4705
2/26/2015,4718
2/27/2015,4717
3/2/2015,4681
3/3/2015,4701
3/4/2015,4679
3/5/2015,4714
3/6/2015,4728
3/9/2015,4682
3/10/2015,4631
3/11/2015,4599
3/12/2015,4648
3/13/2015,4604
3/16/2015,4647
3/17/2015,4655
3/18/2015,4648
3/19/2015,4698
3/20/2015,4684
3/23/2015,4678
