Date,SYGALBB SJ EQUITY_price
7/13/2018,94.56
7/16/2018,94.89
7/17/2018,95.14
7/18/2018,94.96
7/19/2018,94.92
7/20/2018,94.81
7/23/2018,94.66
7/24/2018,94.83
7/25/2018,95.43
7/26/2018,95.74
7/27/2018,95.92
7/30/2018,96.01
7/31/2018,96.09
8/1/2018,95.77
8/2/2018,95.37
8/3/2018,95.37
8/6/2018,95
8/7/2018,95.36
8/8/2018,95.39
8/10/2018,94.51
8/13/2018,93.46
8/14/2018,94.02
8/15/2018,93.55
8/16/2018,93.83
8/17/2018,93.39
8/20/2018,93.83
8/21/2018,93.76
8/22/2018,94.19
8/23/2018,94.26
8/24/2018,94.59
8/27/2018,94.75
8/28/2018,94.92
8/29/2018,94.38
8/30/2018,94.21
8/31/2018,93.98
9/3/2018,93.99
9/4/2018,92.77
9/5/2018,92.62
9/6/2018,92.97
9/7/2018,93.2
9/10/2018,92.76
9/11/2018,92.96
9/12/2018,92.89
9/13/2018,93.54
9/14/2018,93.2
9/17/2018,92.59
9/18/2018,93.01
9/19/2018,93.9
9/20/2018,93.96
9/21/2018,93.82
9/25/2018,93.32
9/26/2018,93.8
9/27/2018,94.33
9/28/2018,94.49
10/1/2018,90.21
10/2/2018,89.7
10/3/2018,89.75
10/4/2018,89.22
10/5/2018,88.88
10/8/2018,88.82
10/9/2018,88.82
10/10/2018,89.31
10/11/2018,88.86
10/12/2018,89.11
10/15/2018,89.28
10/16/2018,89.42
10/17/2018,89.79
10/18/2018,89.87
10/19/2018,89.54
10/22/2018,89.86
10/23/2018,90.18
10/24/2018,89.54
10/25/2018,88.63
10/26/2018,88.89
10/29/2018,89.64
10/30/2018,89.31
10/31/2018,88.84
11/1/2018,89.23
11/2/2018,89.87
11/5/2018,90.04
11/6/2018,90.46
11/7/2018,90.95
11/8/2018,90.52
11/9/2018,90.28
11/12/2018,90.13
11/13/2018,90.01
11/14/2018,90.46
11/15/2018,90.43
11/16/2018,90.74
